                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5725,                 2.5641,                 1.8475,                0.63327,                0.25333,                0.38462,                0.17402,                 1.8761,                 2.9098,                 2.3385,             0.00054538,             0.00054538,             0.00054538
                      2,                 1.6052,                 2.2418,                 1.8458,                0.23591,                0.26392,                0.18022,                0.07429,                 2.5213,                 3.7736,                 3.7683,              0.0010874,              0.0010874,              0.0010874
                      3,                 1.6864,                 2.1992,                  1.894,                0.31896,                0.24936,                0.24008,                0.11014,                 2.3922,                 3.0242,                 2.9226,              0.0016157,              0.0016157,              0.0016157
                      4,                 1.6991,                 2.1837,                 1.9384,                0.29459,                0.28649,                0.24976,                0.10865,                 2.4096,                 3.5089,                 3.0404,              0.0016051,              0.0016051,              0.0016051
