                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1419,                 1.0793,                  1.464,                0.84356,                 0.7915,                0.86533,                0.57504,                 1.1817,                0.85696,                 1.6059,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1355,                 1.0792,                 1.4515,                0.88281,                0.82346,                0.88699,                0.59118,                 1.1896,                0.81004,                 1.5896,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1351,                 1.0692,                 1.4585,                0.80322,                0.80973,                0.86042,                0.57326,                  1.142,                0.83642,                 1.5465,               0.001307,               0.001307,               0.001307
                     38,                 1.1189,                 1.0471,                 1.4462,                0.84044,                0.82103,                0.87173,                0.58409,                 1.1326,                0.81001,                 1.5654,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1301,                  1.054,                 1.4458,                0.84074,                0.81579,                0.87896,                0.60148,                 1.1279,                 0.7805,                  1.547,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1196,                 1.0485,                 1.4459,                0.85473,                0.83401,                0.87812,                0.58098,                 1.1857,                0.80705,                 1.5545,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1222,                 1.0431,                 1.4381,                0.82268,                0.83586,                0.88781,                0.59904,                 1.1469,                0.79641,                 1.5428,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1143,                 1.0259,                 1.4274,                0.84344,                0.85065,                0.89312,                0.60509,                 1.1439,                0.75671,                 1.5377,               0.001208,               0.001208,               0.001208
                     43,                 1.1331,                  1.034,                 1.4417,                0.88304,                0.79471,                0.88511,                0.61519,                 1.0964,                0.78189,                 1.4998,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.105,                 1.0006,                 1.4284,                0.89169,                0.80972,                0.89249,                0.60481,                 1.1244,                0.75485,                 1.5321,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0972,                 1.0051,                 1.4197,                0.89383,                0.83503,                0.88237,                 0.6025,                 1.1267,                0.75252,                 1.5367,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0873,                0.98432,                 1.4065,                0.87671,                0.83486,                0.89786,                 0.6166,                 1.1093,                0.74781,                 1.5121,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.084,                0.99048,                 1.4148,                0.88372,                0.81984,                0.89572,                0.61373,                 1.0978,                0.73628,                 1.5003,               0.001109,               0.001109,               0.001109
