                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89545,                0.98905,                 1.0863,                0.62989,                0.66948,                  0.651,                 0.4987,                 1.3944,                 1.5735,                 1.3863,              0.0011224,              0.0011224,              0.0011224
                     36,                0.89617,                0.98543,                 1.0879,                0.62028,                0.63492,                0.64389,                0.49371,                 1.3687,                 1.5754,                 1.3789,              0.0011059,              0.0011059,              0.0011059
                     37,                0.87286,                0.96021,                  1.076,                0.67877,                0.67113,                0.66437,                0.50473,                 1.4042,                 1.5601,                 1.4026,              0.0010894,              0.0010894,              0.0010894
                     38,                0.90067,                0.98583,                 1.0919,                 0.5069,                0.62762,                0.60218,                0.46464,                 1.3955,                 1.6936,                 1.4078,              0.0010729,              0.0010729,              0.0010729
                     39,                0.90797,                0.98791,                 1.0854,                0.55808,                0.64158,                0.60793,                0.46289,                 1.4155,                  1.615,                  1.425,              0.0010564,              0.0010564,              0.0010564
                     40,                0.88376,                0.95929,                 1.0824,                0.64917,                0.65008,                0.65535,                0.49869,                 1.4021,                 1.5337,                  1.403,              0.0010399,              0.0010399,              0.0010399
                     41,                0.87967,                0.95147,                 1.0837,                0.66617,                0.69066,                0.66605,                0.51001,                 1.3509,                  1.501,                 1.3595,              0.0010234,              0.0010234,              0.0010234
                     42,                0.86799,                0.95543,                 1.0754,                0.65155,                0.63936,                0.63481,                0.49033,                 1.3886,                 1.5671,                 1.3957,              0.0010069,              0.0010069,              0.0010069
                     43,                0.88511,                0.94173,                 1.0844,                0.62959,                0.65163,                0.63001,                0.48386,                  1.377,                 1.5606,                 1.3866,             0.00099036,             0.00099036,             0.00099036
                     44,                0.88143,                0.93916,                 1.0879,                0.61644,                0.63632,                0.60756,                0.47178,                  1.386,                 1.6088,                 1.3936,             0.00097386,             0.00097386,             0.00097386
                     45,                0.87178,                0.93212,                 1.0819,                0.65935,                0.67981,                0.66086,                 0.5141,                 1.3547,                 1.5309,                 1.3693,             0.00095736,             0.00095736,             0.00095736
