                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.37217,                0.58157,                0.15602,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     39,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     40,                0.34868,                0.56727,                0.14671,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     41,                0.31357,                0.55615,                0.15071,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     42,                0.31843,                0.53844,                 0.1618,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     43,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     44,                0.30431,                0.51143,                0.14628,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     45,                0.31327,                0.50643,                0.14837,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     46,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     47,                0.30218,                 0.4898,                0.14469,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     48,                0.28378,                0.48014,                0.13402,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     49,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
